;Last;PE;;ROE;;
;Y;X1;;X2;;
;173.555 c;28,39;;175,46;;
;312.31 c;32,37;;47,15;;
;24,52;21,01;;5,55;;
;112.28 c;24,52;;23,62;;
;110.19 c;--;;-1,91;;
;288.85 c;165,78;;17,93;;
;322.99 c;--;;-4,66;;
;233.08 c;25,49;;19,72;;
;168.54 c;46,54;;33,6;;
;231.27 c;33,03;;40,88;;
;490.07 c;23,14;;--;;
;107.74 c;8,13;;30,64;;
;161.65 c;24;;23,79;;
;435.92 c;63,15;;63,63;;
;152.55 c;35,71;;14,6;;
;136.48 c;11,29;;--;;
;154.03 c;26,53;;31,71;;
;382.54 c;37,41;;145,92;;
;117.9 c;20,64;;34,5;;
;157.09 c;8,59;;23,77;;
;289.03 c;17,32;;--;;
;63.5 c;28,95;;40,51;;
;194.27 c;29,95;;54,21;;
;97.52 c;40,45;;--;;
;626.27 c;23,6;;48,23;;
;146.42 c;22,1;;72,48;;
;499.66 c;38,03;;30,59;;
;27.32 c;8,58;;--;;
;296.57 c;35,59;;--;;
;38.3 c;7;;36,29;;
;533.5 c;30,24;;16,4;;
;204.85 c;981,88;;0,36;;
;110.69 c;28,16;;19,13;;
;46.71 c;16,58;;29,15;;
;123.51 c;32,91;;43,11;;
;101.14 c;57,87;;3,48;;
;368.9 c;44,84;;9,87;;
;233.43 c;24,16;;15,14;;
;142.03 c;61,29;;3,73;;
;268.89 c;25,11;;33,04;;
;39.86 c;32,88;;6,07;;
;37.63 c;7,44;;24,58;;
;344.02 c;34,07;;32,97;;
;97.02 c;115,47;;4,24;;
;76.89 c;36,69;;10,85;;
;335.42 c;36,71;;22,51;;
;163.05 c;17,33;;62,69;;
;95.1 c;16,36;;--;;
;171.57 c;13;;67,85;;
;68.49 c;23,23;;18,88;;
;38.28 c;12,17;;--;;
;96.3 c;27,43;;7,16;;
;83.72 c;13,61;;10,73;;
;197.34 c;27,15;;28,16;;
;234.11 c;19,33;;126,47;;
;29.97 c;15,42;;8,14;;
;106.97 c;37,76;;--;;
;204.32 c;20,09;;--;;
;17.04 c;--;;-6,32;;
;100.47 c;6,87;;40;;
;199.06 c;17,75;;53,17;;
;431.52 c;59,32;;15,71;;
;200.84 c;--;;--;;
;89.41 c;23,98;;9,69;;
;106.46 c;9,32;;92,88;;
;128.08 c;30,12;;7,77;;
;362.18 c;35,52;;16,91;;
;453.15 c;20,92;;56,68;;
;380.39 c;16,34;;36,86;;
;122.02 c;60,11;;9,07;;
;148.68 c;15,11;;32,05;;
;213.17 c;16,86;;41,45;;
;459.35 c;18,51;;--;;
;285.6 c;46,29;;14,97;;
;99.54 c;186,81;;2,35;;
;322.55 c;10,73;;9,92;;
;77.89 c;39,7;;9,85;;
;302.59 c;82,84;;11,53;;
;2645.92 c;34,65;;68,26;;
;115.41 c;15,51;;53,39;;
;78.11 c;21,47;;21,71;;
;629.18 c;18,52;;13,73;;
;454.14 c;284,41;;7,45;;
;181.43 c;34,53;;7,38;;
;196.36 c;51,46;;33,15;;
;46.37 c;6,52;;--;;
;350.04 c;27,3;;27,67;;
;77.98 c;26,26;;56,57;;
;69.71 c;22,23;;5,68;;
;180.52 c;29,89;;28,33;;
;215.01 c;30,7;;66,3;;
;47.55 c;13,57;;15,47;;
;185.14 c;41,2;;47,25;;
;200.47 c;15,98;;--;;
;75.66 c;23,21;;12,07;;
;749.59 c;19,61;;20,94;;
;45.94 c;14,41;;--;;
;134.38 c;113,58;;--;;
;263.45 c;12,37;;--;;
;278.54 c;14,54;;--;;
;53.22 c;119,35;;4,08;;
;99.14 c;20,26;;7,85;;
;118.35 c;30,31;;8,19;;
;157.73 c;26,37;;23,11;;
;201.19 c;30,72;;41,04;;
;251.05 c;46,69;;6,68;;
;63.38 c;30,34;;11,52;;
;527.3 c;16,1;;74,85;;
;750.29 c;97,82;;6,29;;
;228.75 c;23,43;;90,39;;
;170.55 c;31,63;;32,03;;
;333.76 c;27,48;;973,31;;
;169.11 c;27,53;;14,72;;
;443.03 c;14,08;;34,68;;
;81.1 c;38,11;;353,47;;
;185.31 c;25,05;;9,92;;
;529.63 c;23,99;;--;;
;59.99 c;7,75;;18,51;;
;112.16 c;8,49;;33,05;;
;45.86 c;19,15;;21,05;;
;31.81 c;16,35;;31,92;;
;280.95 c;27,86;;16,82;;
;59.11 c;26,45;;17,53;;
;108.49 c;42,09;;6,37;;
;76 c;39,63;;8,21;;
;230 c;29,81;;72,94;;
;954.77 c;28,55;;--;;
;211.53 c;17,36;;18,72;;
;310.58 c;40,34;;54,21;;
;226.33 c;15,76;;15,58;;
;2054.84 c;64,13;;38,54;;
;370.12 c;58,82;;18,21;;
;274.12 c;34,43;;54,31;;
;204.19 c;66,15;;30,95;;
;100.9 c;9,91;;38,81;;
;394.46 c;15,74;;--;;
;88.85 c;36,44;;26,14;;
;175.63 c;24,27;;237,94;;
;386.38 c;17,63;;139,02;;
;300.01 c;12,77;;44,82;;
;67.01 c;62,95;;342,85;;
;89.57 c;20,27;;27,06;;
;36.24 c;15,19;;23,48;;
;118.95 c;30,82;;21,33;;
;339.94 c;11,06;;43,64;;
;56.85 c;4,56;;52,78;;
;2733.65 c;23,33;;--;;
;40.68 c;21,26;;4,82;;
;130.83 c;6,51;;50,27;;
;174.93 c;45,92;;15,1;;
;459.3 c;49,77;;7,14;;
;155.59 c;23,51;;8,05;;
;209.11 c;6,72;;34,58;;
;289.55 c;36,52;;3.586,84;;
;143.41 c;25,09;;364,56;;
;473.03 c;40,59;;35,33;;
;218.18 c;20,44;;40,94;;
;62.52 c;--;;-36,28;;
;11.89 c;--;;-4,32;;
;122.57 c;153,57;;16,35;;
;208.5 c;15,03;;24,8;;
;111.72 c;3,99;;53,57;;
;91.72 c;20,41;;9,94;;
;82.48 c;15,22;;31,92;;
;56.35 c;52,11;;3,47;;
;148.09 c;31,57;;15,94;;
;217.32 c;41,88;;12,62;;
;33.08 c;5,4;;15,58;;
;32.59 c;32,33;;5,75;;
;113.97 c;8,23;;--;;
;313.26 c;15,01;;25,08;;
;29.45 c;7,98;;--;;
;75.46 c;24,63;;28,57;;
;810.14 c;60,53;;--;;
;141.24 c;33,05;;30,51;;
;94.23 c;4,05;;45,31;;
;17.37 c;20,57;;8,28;;
;165.2 c;15,65;;39,88;;
;62.3 c;28,45;;9,06;;
;42.92 c;20,63;;6,94;;
;183.16 c;15,56;;--;;
;196.32 c;52;;82,54;;
;62.37 c;43,92;;3,23;;
;326.88 c;32,39;;15,26;;
;135.24 c;19,98;;29,61;;
;226.19 c;--;;-0,7;;
;57.57 c;34,61;;4,75;;
;178.68 c;23,61;;28,81;;
;74.64 c;9,68;;18,56;;
;74.17 c;32,65;;22,89;;
;66.72 c;10,13;;--;;
;485.11 c;60,43;;104,58;;
;111.01 c;3,83;;54,91;;
;51.82 c;19,14;;--;;
;79.38 c;294,6;;0,66;;
